精选题号,章节,原题号,题干,答案,正确选项,原题链接,配图
172,通行规则与让行,82,夜间驾驶机动车通过人行横道时需要交替使用远近光灯。,A,A、正确,https://www.aijiaxiao.com/tiba/82/,
173,通行规则与让行,107,驾驶机动车在下列哪种情形下不能超越前车？,B,B、前车正在左转弯,https://www.aijiaxiao.com/tiba/107/,
174,通行规则与让行,108,在没有中心线的道路上发现后车发出超车信号时，如果条件许可如何行驶？,D,D、降速靠右让路,https://www.aijiaxiao.com/tiba/108/,
175,通行规则与让行,110,同车道行驶的车辆遇前车有下列哪种情形时不得超车？,D,D、正在超车,https://www.aijiaxiao.com/tiba/110/,
176,通行规则与让行,140,进入这个路口应该怎样做？,C,C、让已在路口内的车辆先行,https://www.aijiaxiao.com/tiba/140/,images/e37e9449429a4908.jpg
177,通行规则与让行,121,驾驶机动车超车应该提前开启左转向灯、变换使用远近光灯或鸣喇叭。,A,A、正确,https://www.aijiaxiao.com/tiba/121/,
178,通行规则与让行,129,驾驶机动车在没有道路中心线的狭窄山路怎样会车？,D,D、不靠山体的一方先行,https://www.aijiaxiao.com/tiba/129/,
179,通行规则与让行,130,夜间在道路上会车时，距离对向来车多远将远光灯改用近光灯？,B,B、150米以外,https://www.aijiaxiao.com/tiba/130/,
180,通行规则与让行,131,驾驶机动车在没有中心线的道路上遇相对方向来车时怎样行驶？,A,A、减速靠右行驶,https://www.aijiaxiao.com/tiba/131/,
181,通行规则与让行,141,在路口右转弯遇同车道前车等候放行信号时如何行驶？,D,D、依次停车等候,https://www.aijiaxiao.com/tiba/141/,
182,通行规则与让行,145,驾驶机动车通过没有交通信号的交叉路口怎样行驶？,A,A、减速慢行,https://www.aijiaxiao.com/tiba/145/,
183,通行规则与让行,146,驾驶机动车通过没有交通信号和管理人员的铁路道口怎样通过？,C,C、停车确认安全后通过,https://www.aijiaxiao.com/tiba/146/,
184,通行规则与让行,154,遇有这种排队等候的情形怎么做？,A,A、依次排队等候,https://www.aijiaxiao.com/tiba/154/,images/589284d7530bb6cb.jpg
185,通行规则与让行,157,驾驶机动车在车道减少的路口，遇到前方车辆依次停车或缓慢行驶时怎么办？,C,C、每车道一辆依次交替驶入路口,https://www.aijiaxiao.com/tiba/157/,
186,通行规则与让行,158,驾驶机动车遇到前方车辆停车排队等候或缓慢行驶时怎么办？,D,D、依次行驶,https://www.aijiaxiao.com/tiba/158/,
187,通行规则与让行,159,驾驶机动车遇有前方交叉路口交通阻塞时怎么办？,A,A、依次停在路口外等候,https://www.aijiaxiao.com/tiba/159/,
188,通行规则与让行,167,驾驶机动车遇到漫水桥时要察明水情确认安全后再低速通过。,A,A、正确,https://www.aijiaxiao.com/tiba/167/,
189,通行规则与让行,170,遇到这种情形时要停车避让行人。,A,A、正确,https://www.aijiaxiao.com/tiba/170/,images/f543ca7d1e360636.jpg
190,通行规则与让行,176,驾驶机动车在铁路道口、桥梁、陡坡、隧道或者容易发生危险的路段不能掉头。,A,A、正确,https://www.aijiaxiao.com/tiba/176/,
191,通行规则与让行,179,驾驶机动车在上道路行驶前驾驶人要按规定系好安全带。,A,A、正确,https://www.aijiaxiao.com/tiba/179/,
192,通行规则与让行,183,机动车在道路上发生故障，需要停车排除时，驾驶人应该怎么办？,C,C、将车停到不妨碍交通的地方,https://www.aijiaxiao.com/tiba/183/,
193,通行规则与让行,184,机动车在道路上发生故障，难以移动时下列做法正确的是什么？,A,A、开启危险报警闪光灯,https://www.aijiaxiao.com/tiba/184/,
194,通行规则与让行,190,行车中遇到执行紧急任务的消防车、救护车、工程救险车时要及时让行。,A,A、正确,https://www.aijiaxiao.com/tiba/190/,
195,通行规则与让行,193,驾驶机动车需要在路边停车时怎样选择停车地点？,C,C、在停车泊位内停放,https://www.aijiaxiao.com/tiba/193/,
196,通行规则与让行,198,在道路上临时停车不得妨碍其他车辆和行人通行。,A,A、正确,https://www.aijiaxiao.com/tiba/198/,
197,通行规则与让行,200,距离交叉路口50米以内的路段不能停车。,A,A、正确,https://www.aijiaxiao.com/tiba/200/,
198,通行规则与让行,202,社会车辆距离消防栓或者消防队(站)门前30米以内的路段不能停车。,A,A、正确,https://www.aijiaxiao.com/tiba/202/,
199,通行规则与让行,203,距离桥梁、陡坡、隧道50米以内的路段不能停车。,A,A、正确,https://www.aijiaxiao.com/tiba/203/,
200,通行规则与让行,205,机动车停稳前不能开车门和上下人员。,A,A、正确,https://www.aijiaxiao.com/tiba/205/,
201,通行规则与让行,455,交叉路口不得倒车的原因是什么?,A,A、交通情况复杂，容易造成交通堵塞甚至引发事故,https://www.aijiaxiao.com/tiba/455/,
202,通行规则与让行,142,在这个路口右转弯如何通行？,A,A、先让对面车左转弯,https://www.aijiaxiao.com/tiba/142/,images/1d1dc4b0a251a04b.jpg
203,通行规则与让行,516,驾驶机动车通过未设置交通信号灯的交叉路口时，下列说法错误的是什么？,D,D、相对方向行驶的左转弯机动车让右转弯的车辆先行,https://www.aijiaxiao.com/tiba/516/,
204,通行规则与让行,445,在没有交通信号指示的交叉路口，转弯的机动车让直行的车辆和行人先行。,A,A、正确,https://www.aijiaxiao.com/tiba/445/,
205,通行规则与让行,552,道路没有划分机动车道、非机动车道和人行道的，以下说法正确的是什么？,C,C、机动车在道路中间通行，非机动车和行人在道路两侧通行,https://www.aijiaxiao.com/tiba/552/,
206,限速与高速公路,85,在这条高速公路上行驶时的最高速度不能超过多少？,B,B、110公里/小时,https://www.aijiaxiao.com/tiba/85/,images/675b89801ad2cac7.jpg
207,限速与高速公路,86,在这段城市道路上行驶的最高速度不能超过多少？,A,A、30公里/小时,https://www.aijiaxiao.com/tiba/86/,images/a62cebaa2ff55130.jpg
208,限速与高速公路,87,在这条公路上行驶的最高速度不能超过多少？,B,B、40公里/小时,https://www.aijiaxiao.com/tiba/87/,images/d67799e19cdfb629.jpg
209,限速与高速公路,88,在这条城市道路上行驶的最高速度不能超过多少？,C,C、50公里/小时,https://www.aijiaxiao.com/tiba/88/,images/77cc6f203f519374.jpg
210,限速与高速公路,89,在这条公路上行驶的最高速度不能超过多少？,D,D、70公里/小时,https://www.aijiaxiao.com/tiba/89/,images/06e22e148b27bbd0.jpg
211,限速与高速公路,92,驾驶机动车遇雾、雨、雪等能见度在50米以内时，最高速度不能超过多少？,D,D、30公里/小时,https://www.aijiaxiao.com/tiba/92/,
212,限速与高速公路,93,驾驶机动车在进出非机动车道时，最高速度不能超过多少？,A,A、30公里/小时,https://www.aijiaxiao.com/tiba/93/,
213,限速与高速公路,97,驾驶机动车下陡坡、转弯、掉头时，最高速度不能超过多少？,A,A、30公里/小时,https://www.aijiaxiao.com/tiba/97/,
214,限速与高速公路,100,"驾驶机动车上道路行驶,不允许超过限速标志标明的最高时速。",A,A、正确,https://www.aijiaxiao.com/tiba/100/,
215,限速与高速公路,207,在这段高速公路上行驶的最高车速是多少？,A,A、120公里/小时,https://www.aijiaxiao.com/tiba/207/,images/b8a8bbd04d4c5e24.jpg
216,限速与高速公路,208,在这段高速公路上行驶的最低车速是多少？,B,B、60公里/小时,https://www.aijiaxiao.com/tiba/208/,images/e600c134106a679c.jpg
217,限速与高速公路,209,在这条车道行驶的最低车速是多少？,C,C、100公里/小时,https://www.aijiaxiao.com/tiba/209/,images/4d37d41ce5d78b8b.jpg
218,限速与高速公路,210,在这条车道行驶的最低车速是多少？,B,B、90公里/小时,https://www.aijiaxiao.com/tiba/210/,images/d0d5b014c84ea5c5.jpg
219,限速与高速公路,213,驾驶机动车在高速公路要按照限速标志标明的车速行驶。,A,A、正确,https://www.aijiaxiao.com/tiba/213/,
220,限速与高速公路,216,驾驶小型载客汽车在高速公路上时速超过100公里时的跟车距离是多少？,D,D、保持100米以上,https://www.aijiaxiao.com/tiba/216/,
221,限速与高速公路,217,驾驶小型载客汽车在高速公路上时速低于100公里时的最小跟车距离是多少？,A,A、不得少于50米,https://www.aijiaxiao.com/tiba/217/,
222,限速与高速公路,218,驾驶机动车在高速公路遇到能见度低于200米的气象条件时，最高车速是多少？,D,D、不得超过60公里/小时,https://www.aijiaxiao.com/tiba/218/,
223,限速与高速公路,219,驾驶机动车在高速公路遇到能见度低于100米的气象条件时，最高车速是多少？,A,A、不得超过40公里/小时,https://www.aijiaxiao.com/tiba/219/,
224,限速与高速公路,220,驾驶机动车在高速公路遇到能见度低于50米的气象条件时，车速不得超过20公里/小时，还应怎么做？,B,B、尽快驶离高速公路,https://www.aijiaxiao.com/tiba/220/,
225,限速与高速公路,226,这辆在高速公路上临时停放的故障车，警告标志应该设置在车后多远处？,A,A、150米以外,https://www.aijiaxiao.com/tiba/226/,images/33131c9ec0a28c31.jpg
226,限速与高速公路,227,机动车在高速公路上发生故障时错误的做法是什么？,C,C、车上人员不能下车,https://www.aijiaxiao.com/tiba/227/,
227,限速与高速公路,228,机动车在高速公路上发生故障或交通事故无法正常行驶时由什么车拖曳或牵引？,D,D、清障车,https://www.aijiaxiao.com/tiba/228/,
228,限速与高速公路,230,机动车在高速公路上发生故障时，将车上人员迅速转移到右侧路肩上或者应急车道内，并且迅速报警。,A,A、正确,https://www.aijiaxiao.com/tiba/230/,
229,限速与高速公路,422,牵引发生故障的机动车时，最高车速不得超过多少?,B,B、30公里/小时,https://www.aijiaxiao.com/tiba/422/,
230,限速与高速公路,423,如图所示，在高速公路同方向三条机动车道最左侧车道行驶，应保持什么车速?,A,A、110 公里/小时～120公里/小时,https://www.aijiaxiao.com/tiba/423/,images/c96cde3db0e36e3f.jpg
231,限速与高速公路,425,如图所示，在高速公路同方向三条机动车道中间车道行驶，车速不能低于多少?,B,B、90公里/小时,https://www.aijiaxiao.com/tiba/425/,images/80d29de64d56b6fa.jpg
232,限速与高速公路,546,驾驶机动车在高速公路上行驶，遇低能见度气象条件时，能见度在200米以下，车速不得超过每小时多少公里，与同车道前车至少保持多少米的距离？,A,A、60，100,https://www.aijiaxiao.com/tiba/546/,
233,限速与高速公路,990,高速公路上行车，如果因疏忽驶过出口，应怎样做？,B,B、继续向前行驶，寻找下一个出口,https://www.aijiaxiao.com/tiba/990/,
234,限速与高速公路,1003,车辆驶离高速公路时，应当经减速车道减速后进入匝道。,A,A、正确,https://www.aijiaxiao.com/tiba/1003/,
235,限速与高速公路,1106,驾驶机动车在高速公路上行驶，遇有雾、雨、雪、沙尘、冰雹等低能见度气象条件下，能见度在100米以下时，车速不得超过每小时多少公里，与同车道前车至少保持多少米的距离？,A,A、40，50,https://www.aijiaxiao.com/tiba/1106/,
236,事故处置,232,在道路上发生未造成人员伤亡且无争议的轻微交通事故如何处置？,D,D、撤离现场自行协商,https://www.aijiaxiao.com/tiba/232/,
237,事故处置,234,驾驶人在发生交通事故后因抢救伤员变动现场时要标明位置。,A,A、正确,https://www.aijiaxiao.com/tiba/234/,
238,事故处置,235,在道路上发生交通事故造成人身伤亡时，要立即抢救受伤人员并迅速报警。,A,A、正确,https://www.aijiaxiao.com/tiba/235/,
239,事故处置,298,对发生道路交通事故需要收集证据的事故车，交通警察可以依法扣留。,A,A、正确,https://www.aijiaxiao.com/tiba/298/,
240,事故处置,308,驾驶机动车碰撞建筑物、公共设施后可即行撤离现场。,B,B、错误,https://www.aijiaxiao.com/tiba/308/,
241,事故处置,310,道路交通事故中，驾驶人有饮酒、醉酒嫌疑时，要保护现场并立即报警。,A,A、正确,https://www.aijiaxiao.com/tiba/310/,
242,事故处置,312,驾驶机动车发生财产损失交通事故，当事人对事实及成因无争议的可先撤离现场。,A,A、正确,https://www.aijiaxiao.com/tiba/312/,
243,事故处置,313,驾驶机动车发生财产损失交通事故后，当事人对事实及成因无争议移动车辆时需要对现场拍照或者标划停车位置。,A,A、正确,https://www.aijiaxiao.com/tiba/313/,
244,事故处置,315,机动车发生财产损失交通事故，对应当自行撤离现场而未撤离造成交通堵塞的，可以对驾驶人处以200元罚款。,A,A、正确,https://www.aijiaxiao.com/tiba/315/,
245,事故处置,472,驾驶机动车发生交通事故后当事人故意破坏、伪造现场、毁灭证据的，应当承担什么责任？,D,D、全部责任,https://www.aijiaxiao.com/tiba/472/,
246,事故处置,473,非机动车驾驶人、行人故意碰撞机动车造成交通事故的，机动车一方不承担赔偿责任。,A,A、正确,https://www.aijiaxiao.com/tiba/473/,
247,事故处置,498,驾驶机动车在道路上发生交通事故，任何情况下都应标明现场位置后，先行撤离现场。,B,B、错误,https://www.aijiaxiao.com/tiba/498/,
248,事故处置,504,驾驶机动车在道路上发生交通事故，当事人不能自行移动车辆的，应当保护现场并立即报警。,A,A、正确,https://www.aijiaxiao.com/tiba/504/,
249,事故处置,519,机动车发生轻微财产损失的交通事故，对应当自行撤离现场而未撤离的，交通警察有权责令当事人撤离现场。,A,A、正确,https://www.aijiaxiao.com/tiba/519/,
250,事故处置,527,驾驶机动车发生交通事故，仅造成财产损失的，但是对交通事故事实及成因有争议的，应当怎么处理？,A,A、迅速报警,https://www.aijiaxiao.com/tiba/527/,
251,事故处置,543,发生无人员伤亡的、财产轻微损失的交通事故后，以下做法正确的是什么？,C,C、确保安全的情况下，对现场拍照，然后将车辆移至路边等不妨碍交通的地点,https://www.aijiaxiao.com/tiba/543/,
252,事故处置,9264,遇到这种单方面交通事故，应如何处理？,B,B、报警,https://www.aijiaxiao.com/tiba/9264/,images/4f1bbb2e49522562.png
253,事故处置,9265,机动车之间发生交通事故，不管是否有人员伤亡，只要双方当事人同意，都可自行协商解决,B,B、错误,https://www.aijiaxiao.com/tiba/9265/,
254,事故处置,1071,如图所示，A车货物掉落，导致B车与掉落货物发生碰撞，以下说法正确的是什么？,B,B、A车负全部责任,https://www.aijiaxiao.com/tiba/1071/,images/4e9b0ff6fb29f582.jpg
255,事故处置,1099,如图所示，在环岛交叉路口发生的交通事故中，应由A车负全部责任。,A,A、正确,https://www.aijiaxiao.com/tiba/1099/,images/d02aac2fefd32590.jpg
256,安全文明驾驶,881,雨天对安全行车的主要影响是什么？,B,B、路面湿滑，视线受阻,https://www.aijiaxiao.com/tiba/881/,
257,安全文明驾驶,882,下雨后路面湿滑，车辆行驶中紧急制动时，容易导致什么？,D,D、发生侧滑、引发交通事故,https://www.aijiaxiao.com/tiba/882/,
258,安全文明驾驶,883,雾天对安全行车的主要影响是什么？,D,D、能见度低，视线不清,https://www.aijiaxiao.com/tiba/883/,
259,安全文明驾驶,885,夜间道路环境对安全行车的主要影响是什么？,A,A、能见度低、不利于观察道路交通情况,https://www.aijiaxiao.com/tiba/885/,
260,安全文明驾驶,887,冰雪道路对安全行车的主要影响是什么？,D,D、制动性能差，方向易跑偏,https://www.aijiaxiao.com/tiba/887/,
261,安全文明驾驶,891,山区道路对安全行车的主要影响是什么？,C,C、坡长弯急，视距不足,https://www.aijiaxiao.com/tiba/891/,
262,安全文明驾驶,892,行车中突遇对方车辆强行超车，占据自己车道，正确的做法是什么？,B,B、尽可能减速避让、直至停车,https://www.aijiaxiao.com/tiba/892/,
263,安全文明驾驶,899,行车中遇有前方发生交通事故，需要帮助时，应怎样做？,C,C、协助保护现场，并立即报警,https://www.aijiaxiao.com/tiba/899/,
264,安全文明驾驶,900,行车中遇交通事故受伤者需要抢救时，应怎样做？,A,A、及时将伤者送医院抢救或拨打急救电话,https://www.aijiaxiao.com/tiba/900/,
265,安全文明驾驶,901,行车中遇到对向来车占道行驶，应怎样做？,B,B、主动给对方让行,https://www.aijiaxiao.com/tiba/901/,
266,安全文明驾驶,902,行车中发现前方道路拥堵时，应怎样做？,C,C、减速停车，依次排队等候,https://www.aijiaxiao.com/tiba/902/,
267,安全文明驾驶,904,行车中遇到后方车辆要求超车时，应怎样做？,A,A、及时减速、观察后靠右行驶让行,https://www.aijiaxiao.com/tiba/904/,
268,安全文明驾驶,905,驾驶人在超车时，前方车辆不减速、不让道，应怎样做？,C,C、停止继续超车,https://www.aijiaxiao.com/tiba/905/,
269,安全文明驾驶,916,谨慎驾驶的三原则是集中注意力、仔细观察和提前预防。,A,A、正确,https://www.aijiaxiao.com/tiba/916/,
270,安全文明驾驶,926,车辆驶近人行横道时，应怎样做？,D,D、先减速注意观察行人、非机动车动态，确认安全后再通过,https://www.aijiaxiao.com/tiba/926/,
271,安全文明驾驶,1013,车辆在山区道路跟车行驶时，应怎样做？,B,B、适当加大安全距离,https://www.aijiaxiao.com/tiba/1013/,
272,安全文明驾驶,1016,下长坡时，控制车速除了刹车制动以外还有什么有效的辅助方法？,B,B、利用发动机制动,https://www.aijiaxiao.com/tiba/1016/,
273,安全文明驾驶,1017,下长坡连续使用行车制动会导致什么？,C,C、会使制动器温度升高而使制动效果急剧下降,https://www.aijiaxiao.com/tiba/1017/,
274,安全文明驾驶,1020,车辆下坡行驶，要适当控制车速，充分利用发动机进行制动。,A,A、正确,https://www.aijiaxiao.com/tiba/1020/,
275,安全文明驾驶,1022,车辆在通过山区道路弯道时，要做到“减速、鸣喇叭、靠右行”。,A,A、正确,https://www.aijiaxiao.com/tiba/1022/,
276,安全文明驾驶,1031,夜间车辆通过照明条件良好的路段时，应使用什么灯？,B,B、近光灯,https://www.aijiaxiao.com/tiba/1031/,
277,安全文明驾驶,1036,夜间会车时，若对方车辆不关闭远光灯，可变换灯光提示对向车辆，同时减速靠右侧行驶或停车。,A,A、正确,https://www.aijiaxiao.com/tiba/1036/,
278,安全文明驾驶,1042,在暴雨天气驾车，刮水器无法刮净雨水时，应怎样做？,C,C、立即减速靠边停车,https://www.aijiaxiao.com/tiba/1042/,
279,安全文明驾驶,1044,雾天行车时，应及时开启什么灯？,D,D、雾灯,https://www.aijiaxiao.com/tiba/1044/,
280,安全文明驾驶,1045,遇有浓雾或特大雾天能见度过低，行车困难时，应怎样做？,C,C、开启危险报警闪光灯和雾灯，选择安全地点停车,https://www.aijiaxiao.com/tiba/1045/,
281,安全文明驾驶,1046,车辆涉水后，应保持低速行驶，怎样操作制动踏板，以恢复制动效果？,D,D、间断轻踏,https://www.aijiaxiao.com/tiba/1046/,
282,安全文明驾驶,1052,在冰雪路面上行车，必须降低车速、加大安全距离。,A,A、正确,https://www.aijiaxiao.com/tiba/1052/,
283,安全文明驾驶,1057,前轮胎爆裂已出现转向时，驾驶人不要过度矫正，应在控制住方向的情况下，应怎样做，使车辆缓慢减速？,C,C、轻踏制动踏板,https://www.aijiaxiao.com/tiba/1057/,
284,安全文明驾驶,1061,车辆后轮胎爆裂，车尾会摇摆不定，驾驶人应双手紧握转向盘，控制车辆保持直线行驶，减速停车。,A,A、正确,https://www.aijiaxiao.com/tiba/1061/,
285,安全文明驾驶,1091,驾驶机动车在高速公路发生故障，需要停车排除故障时，以下做法先后顺序正确的是？ ①放置警告标志，转移乘车人员至安全处，迅速报警②开启危险报警闪光灯③将车辆移至不妨碍交通的位置④等待救援,D,D、②③①④,https://www.aijiaxiao.com/tiba/1091/,
286,车辆仪表与安全装置,1121,这个仪表是何含义？,A,A、发动机转速表,https://www.aijiaxiao.com/tiba/1121/,images/ad5e89ae235e4612.jpg
287,车辆仪表与安全装置,1122,这个仪表是何含义？,B,B、速度和里程表,https://www.aijiaxiao.com/tiba/1122/,images/14365f0d280fc7a0.jpg
288,车辆仪表与安全装置,1123,这个仪表是何含义？,C,C、水温表,https://www.aijiaxiao.com/tiba/1123/,images/d17a8a1d9c6599ff.jpg
289,车辆仪表与安全装置,1124,这个仪表是何含义？,D,D、燃油表,https://www.aijiaxiao.com/tiba/1124/,images/54279adf4c375774.jpg
290,车辆仪表与安全装置,1136,机动车仪表板上（如图所示）亮表示发动机可能机油量不足。,A,A、正确,https://www.aijiaxiao.com/tiba/1136/,images/bede68e9712197bb.jpg
291,车辆仪表与安全装置,1142,机动车仪表板上（如图所示）亮，表示行车制动系统可能出现故障。,A,A、正确,https://www.aijiaxiao.com/tiba/1142/,images/e4e7b42344c4d4e4.jpg
292,车辆仪表与安全装置,1153,开启前照灯远光时仪表板上（如图所示）亮起。,B,B、错误,https://www.aijiaxiao.com/tiba/1153/,images/9591eabc363071ed.jpg
293,车辆仪表与安全装置,1157,机动车仪表板上（如图所示）亮时，提醒驾驶人安全带插头未插入锁扣。,A,A、正确,https://www.aijiaxiao.com/tiba/1157/,images/5a844038d303d206.jpg
294,车辆仪表与安全装置,1161,开启危险报警闪光灯时，（如图所示）闪烁。,A,A、正确,https://www.aijiaxiao.com/tiba/1161/,images/8bd0eef2ea3fd96b.jpg
295,车辆仪表与安全装置,1193,这是什么踏板？,B,B、离合器踏板,https://www.aijiaxiao.com/tiba/1193/,images/30e3b651758d93ca.jpg
296,车辆仪表与安全装置,1194,这是什么踏板？,C,C、制动踏板,https://www.aijiaxiao.com/tiba/1194/,images/761aeeee4196ff1b.jpg
297,车辆仪表与安全装置,1195,这是什么踏板？,A,A、加速踏板,https://www.aijiaxiao.com/tiba/1195/,images/f54320382e8d4a20.jpg
298,车辆仪表与安全装置,1216,安全头枕在发生追尾事故时，能有效保护驾驶人的什么部位？,C,C、颈部,https://www.aijiaxiao.com/tiba/1216/,
299,车辆仪表与安全装置,1218,机动车发生碰撞时座椅安全带主要作用是什么？,A,A、减轻驾乘人员伤害,https://www.aijiaxiao.com/tiba/1218/,
300,车辆仪表与安全装置,1221,机动车在紧急制动时ABS系统会起到什么作用？,D,D、防止车轮抱死,https://www.aijiaxiao.com/tiba/1221/,images/0772d86600bd97a1.jpg
